,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,victoria,HK,22.2855,114.1577,65.97,90,100,1.01,overcast clouds
1,ushuaia,AR,-54.8,-68.3,62.26,63,75,11.5,broken clouds
2,brae,GB,60.3964,-1.353,37.31,53,100,32.79,overcast clouds
3,tazovskiy,RU,67.4667,78.7,-25.1,100,89,0.49,overcast clouds
4,clyde river,CA,70.4692,-68.5914,-30.77,68,0,10.36,clear sky
5,bredasdorp,ZA,-34.5322,20.0403,62.28,88,12,3.44,few clouds
6,tasiilaq,GL,65.6145,-37.6368,17.49,54,100,56.8,light snow
7,palmares do sul,BR,-30.2578,-50.5097,70.32,66,22,10.87,few clouds
8,codrington,AU,-38.2667,141.9667,83.23,28,0,9.04,clear sky
9,kipushi,CD,-11.7667,27.2333,61.79,99,100,3.02,light rain
10,ribeira grande,PT,38.5167,-28.7,61.18,84,10,14.58,clear sky
11,upernavik,GL,72.7868,-56.1549,-16.49,100,100,7.74,overcast clouds
12,najran,SA,17.4924,44.1277,50.65,58,26,3.33,scattered clouds
13,natal,BR,-5.795,-35.2094,81.25,78,20,9.22,few clouds
14,port alfred,ZA,-33.5906,26.891,73.96,78,98,4.9,overcast clouds
15,saint-philippe,RE,-21.3585,55.7679,78.39,85,91,13.87,overcast clouds
16,abong mbang,CM,3.9833,13.1833,63.37,37,11,2.89,few clouds
17,alcudia,ES,39.8532,3.1214,45.37,70,0,9.24,clear sky
18,hithadhoo,MV,-0.6,73.0833,82.31,70,43,14.9,scattered clouds
19,cape town,ZA,-33.9258,18.4232,64.27,87,20,1.01,few clouds
20,kedougou,SN,12.5579,-12.1743,75.78,12,2,3.04,clear sky
21,dikson,RU,73.5069,80.5464,-14.06,97,100,15.68,overcast clouds
22,ugoofaaru,MV,5.6667,73.0,80.44,72,62,9.64,broken clouds
23,kibakwe,TZ,-6.7167,36.3667,64.11,98,100,2.44,moderate rain
24,cartagena del chaira,CO,1.3349,-74.8429,74.34,90,100,1.83,overcast clouds
25,kalmunai,LK,7.4167,81.8167,75.16,83,49,8.39,scattered clouds
26,husavik,IS,66.0449,-17.3389,22.91,89,100,12.66,overcast clouds
27,eyemouth,GB,55.8713,-2.0901,35.83,69,3,16.73,clear sky
28,nanortalik,GL,60.1432,-45.2371,18.88,65,100,42.73,overcast clouds
29,carutapera,BR,-1.195,-46.02,75.85,93,100,4.47,overcast clouds
30,mizdah,LY,31.4451,12.9801,50.04,36,63,3.96,broken clouds
31,iskateley,RU,67.6803,53.1512,15.15,87,100,17.11,overcast clouds
32,abu samrah,SY,35.3029,37.1841,47.16,89,94,6.2,overcast clouds
33,jamestown,US,42.097,-79.2353,29.71,54,0,7.0,clear sky
34,nouadhibou,MR,20.931,-17.0347,65.1,80,94,13.31,overcast clouds
35,theog,IN,31.1167,77.35,35.24,77,49,3.36,scattered clouds
36,chuy,UY,-33.6971,-53.4616,63.37,68,13,16.75,few clouds
37,longyearbyen,SJ,78.2186,15.6401,19.24,68,0,5.75,clear sky
38,campoverde,PE,-8.4753,-74.8058,80.29,95,100,1.74,overcast clouds
39,corinto,GR,37.9407,22.9573,54.84,84,94,1.01,overcast clouds
40,hermanus,ZA,-34.4187,19.2345,63.9,92,87,3.89,overcast clouds
41,agnibilekrou,CI,7.1344,-3.2047,72.05,87,11,3.09,few clouds
42,busselton,AU,-33.65,115.3333,66.04,56,65,20.0,broken clouds
43,mar del plata,AR,-38.0023,-57.5575,63.88,81,40,23.0,scattered clouds
44,kidal,ML,18.4411,1.4078,61.65,15,0,10.42,clear sky
45,port elizabeth,ZA,-33.918,25.5701,69.1,77,0,4.61,clear sky
46,pokaran,IN,26.9167,71.9167,60.01,44,0,4.23,clear sky
47,qaanaaq,GL,77.484,-69.3632,-11.67,58,32,7.99,scattered clouds
48,kruisfontein,ZA,-34.0033,24.7314,66.88,66,0,2.39,clear sky
49,vila velha,BR,-20.3297,-40.2925,80.55,86,75,5.01,broken clouds
50,ashington,GB,50.9331,-0.3909,43.18,62,6,1.01,clear sky
51,atar,MR,20.5169,-13.0499,69.67,11,0,5.5,clear sky
52,helmsdale,GB,58.1168,-3.6517,38.17,78,55,9.51,broken clouds
53,praia,CV,14.9215,-23.5087,68.54,83,0,16.11,clear sky
54,kattivakkam,IN,13.2167,80.3167,77.07,81,51,3.29,broken clouds
55,bambous virieux,MU,-20.3428,57.7575,77.25,83,40,6.91,light rain
56,altay,CN,47.8667,88.1167,7.21,46,91,8.63,overcast clouds
57,tharad,IN,24.3961,71.6267,59.34,88,0,4.5,clear sky
58,albion,US,42.2431,-84.753,28.18,71,75,5.75,broken clouds
59,east london,ZA,-33.0153,27.9116,71.08,84,99,14.05,overcast clouds
60,mega,ET,4.05,38.3,61.12,35,21,7.25,few clouds
61,arlit,NE,18.7369,7.3853,61.79,12,0,8.21,clear sky
62,axim,GH,4.8699,-2.2405,78.19,87,100,4.59,overcast clouds
63,sinnamary,GF,5.3833,-52.95,77.11,89,100,8.3,overcast clouds
64,bollnas,SE,61.3482,16.3946,24.15,86,94,6.2,overcast clouds
65,lagoa,PT,39.05,-27.9833,59.65,85,7,15.75,clear sky
66,beyneu,KZ,45.3167,55.2,29.12,85,97,6.98,overcast clouds
67,jever,DE,53.5833,7.9,41.05,81,34,25.95,scattered clouds
68,micheweni,TZ,-4.9667,39.8333,78.94,83,100,6.55,overcast clouds
69,tarko-sale,RU,64.9225,77.785,-26.0,100,79,4.54,broken clouds
70,svetlyy,RU,54.675,20.1347,35.96,90,100,17.74,overcast clouds
71,lasa,IT,46.6166,10.7002,44.06,91,100,5.7,snow
72,georgetown,MY,5.4112,100.3354,80.53,89,20,0.0,few clouds
73,punta arenas,CL,-53.15,-70.9167,51.91,87,75,6.91,broken clouds
74,bathsheba,BB,13.2167,-59.5167,79.41,78,75,14.97,broken clouds
75,arraial do cabo,BR,-22.9661,-42.0278,75.79,90,0,20.27,clear sky
76,thinadhoo,MV,0.5333,72.9333,82.58,62,100,12.37,overcast clouds
77,iqaluit,CA,63.7506,-68.5145,-36.31,73,0,3.0,clear sky
78,saint george,US,37.1041,-113.5841,55.99,18,0,18.41,clear sky
79,manawar,IN,22.2333,75.0833,62.31,32,1,2.71,clear sky
80,mogadishu,SO,2.0371,45.3438,76.03,77,53,19.66,broken clouds
81,nueva helvecia,UY,-34.3,-57.2333,61.59,77,89,12.24,light rain
82,letlhakane,BW,-21.4167,25.5833,66.4,65,0,14.5,clear sky
83,urumqi,CN,43.801,87.6005,7.75,67,2,8.95,clear sky
84,cayenne,GF,4.9333,-52.3333,80.1,87,75,3.0,broken clouds
85,jacareacanga,BR,-6.2222,-57.7528,73.29,98,100,1.52,very heavy rain
86,epe,NG,6.5841,3.9834,73.63,95,36,0.98,scattered clouds
87,aquiraz,BR,-3.9014,-38.3911,82.18,79,2,7.05,clear sky
88,shetpe,KZ,44.1667,52.1167,30.72,97,99,2.75,light snow
89,tabas,IR,33.5959,56.9244,44.2,39,0,1.77,clear sky
90,saint-georges,GD,12.0564,-61.7485,78.48,83,75,14.97,broken clouds
91,raga,SS,8.4596,25.678,61.74,22,39,5.06,scattered clouds
92,lusaka,ZM,-15.4067,28.2871,59.18,95,48,5.23,scattered clouds
93,klaksvik,FO,62.2266,-6.589,32.92,51,100,20.38,overcast clouds
94,mahebourg,MU,-20.4081,57.7,77.29,83,40,6.91,scattered clouds
95,basqal,AZ,40.7552,48.391,19.92,44,0,6.69,clear sky
96,kangaatsiaq,GL,68.3065,-53.4641,7.84,86,100,24.25,overcast clouds
97,sicuani,PE,-14.2694,-71.2261,43.2,91,100,5.53,overcast clouds
98,touros,BR,-5.1989,-35.4608,79.7,74,22,9.37,few clouds
99,lebu,CL,-37.6167,-73.65,59.47,91,1,15.26,clear sky
100,luau,AO,-10.7073,22.2247,63.16,88,100,2.59,overcast clouds
101,ancona,IT,43.55,13.1667,53.82,62,99,16.11,overcast clouds
102,new glasgow,CA,45.5834,-62.6486,10.78,92,13,4.81,few clouds
103,puerto colombia,CO,10.9878,-74.9547,78.89,82,0,25.3,clear sky
104,ponta delgada,PT,37.7333,-25.6667,60.49,82,75,11.5,broken clouds
105,young,UY,-32.6833,-57.6333,64.22,64,4,5.97,clear sky
106,itaqui,BR,-29.1253,-56.5531,66.16,38,0,7.67,clear sky
107,mount pleasant,US,32.7941,-79.8626,46.38,75,100,1.99,overcast clouds
108,bengkulu,ID,-3.8004,102.2655,79.0,80,98,9.51,overcast clouds
109,souillac,MU,-20.5167,57.5167,77.38,83,40,6.91,scattered clouds
110,lipin bor,RU,60.2622,37.9763,9.48,96,94,10.83,overcast clouds
111,chipinge,ZW,-20.1883,32.6236,60.03,96,79,2.62,broken clouds
112,ambilobe,MG,-13.2,49.05,72.23,95,29,1.72,scattered clouds
113,talcahuano,CL,-36.7167,-73.1167,67.68,64,0,10.36,clear sky
114,olafsvik,IS,64.8945,-23.7142,30.72,62,100,31.27,heavy snow
115,pangnirtung,CA,66.1451,-65.7125,-37.5,96,100,3.98,overcast clouds
116,riyadh,SA,24.6877,46.7219,48.34,45,0,5.66,clear sky
117,hofn,IS,64.2539,-15.2082,30.2,67,100,12.12,overcast clouds
118,carupano,VE,10.6678,-63.2585,75.9,91,14,10.76,few clouds
119,usogorsk,RU,63.4106,48.6872,15.89,95,96,6.44,overcast clouds
120,isheyevka,RU,54.4167,48.2667,18.91,98,100,4.7,overcast clouds
121,san juan,AR,-31.5375,-68.5364,75.15,34,0,12.03,clear sky
122,sao filipe,CV,14.8961,-24.4956,72.61,76,0,5.19,clear sky
123,richards bay,ZA,-28.783,32.0377,71.31,91,78,2.66,light rain
124,buraydah,SA,26.326,43.975,45.05,46,0,6.76,clear sky
125,odienne,CI,9.51,-7.5692,71.28,18,10,0.49,clear sky
126,mehamn,NO,71.0357,27.8492,18.37,84,86,13.18,overcast clouds
127,gari,RU,59.4307,62.3497,5.65,97,100,5.44,overcast clouds
128,sitamarhi,IN,26.6,85.4833,53.78,74,0,2.64,clear sky
129,salvador,SV,13.8333,-88.9167,74.05,64,45,1.05,scattered clouds
130,gayny,RU,60.3071,54.3241,15.66,91,100,6.08,overcast clouds
131,acarau,BR,-2.8856,-40.12,79.12,78,2,12.97,clear sky
132,valdepenas,ES,38.7621,-3.3848,43.03,42,2,4.72,clear sky
133,rioja,AR,-29.4111,-66.8507,71.42,54,14,3.24,few clouds
134,castro,BR,-24.7911,-50.0119,63.09,80,4,2.48,clear sky
135,cap malheureux,MU,-19.9842,57.6142,77.49,86,100,1.99,overcast clouds
136,krasnoselkup,RU,65.7,82.4667,-22.32,100,40,6.82,scattered clouds
137,ludvika,SE,60.1496,15.1878,27.03,93,12,2.86,few clouds
138,kayes,ML,14.0,-11.0,75.02,9,0,6.11,clear sky
139,esna,EG,25.2934,32.554,50.02,43,0,9.13,clear sky
140,coquimbo,CL,-29.9533,-71.3436,64.13,82,100,5.75,overcast clouds
141,nchelenge,ZM,-9.3451,28.734,68.85,88,100,7.38,light rain
142,kourou,GF,5.1552,-52.6478,80.11,91,100,6.15,overcast clouds
143,orapa,BW,-21.2833,25.3667,67.59,63,0,13.98,clear sky
144,salihorsk,BY,52.7876,27.5415,32.47,98,100,17.31,light snow
145,general roca,AR,-39.0333,-67.5833,77.4,20,0,13.71,light rain
146,ilulissat,GL,69.2167,-51.1,-2.49,99,100,6.4,overcast clouds
147,foso,GH,5.7012,-1.2866,74.01,95,99,1.74,light rain
148,saldanha,ZA,-33.0117,17.9442,60.85,99,32,7.25,scattered clouds
149,san ramon,US,37.7799,-121.978,61.38,56,0,2.71,clear sky
150,cofradia,HN,15.4,-88.15,74.14,97,98,1.43,overcast clouds
151,namibe,AO,-15.1961,12.1522,72.68,69,94,8.48,overcast clouds
152,conceicao do araguaia,BR,-8.2578,-49.2647,74.5,92,95,1.86,overcast clouds
153,porto novo,BJ,6.4965,2.6036,82.22,88,43,3.87,scattered clouds
154,tombouctou,ML,20.0,-3.0,63.05,13,0,9.15,clear sky
155,gerash,IR,27.6652,54.1371,41.14,53,0,4.72,clear sky
156,llata,PE,-9.4167,-76.7833,53.28,86,100,2.08,overcast clouds
157,tromso,NO,69.6496,18.957,28.42,54,0,18.41,clear sky
158,narsaq,GL,60.9167,-46.05,8.74,81,100,8.08,overcast clouds
159,bagula,IN,23.3167,88.65,60.51,62,1,2.15,clear sky
160,praia da vitoria,PT,38.7333,-27.0667,60.76,94,75,18.05,broken clouds
161,fowa,NG,8.9167,6.4,74.84,19,1,2.84,clear sky
162,salinas,US,36.6777,-121.6555,64.42,65,0,0.0,clear sky
163,korla,CN,41.7597,86.1469,22.6,49,73,3.51,broken clouds
164,pombas,CV,17.1503,-25.0201,67.78,81,11,9.1,few clouds
165,jardim,BR,-21.4803,-56.1381,71.76,77,83,4.03,broken clouds
166,pisco,PE,-13.7,-76.2167,67.01,88,0,5.75,clear sky
167,roald,NO,62.5833,6.1333,40.33,75,75,16.11,broken clouds
168,zastron,ZA,-30.3023,27.084,60.39,72,23,4.14,few clouds
169,miraflores,MX,19.2167,-98.8083,61.86,64,15,3.87,few clouds
170,vardo,NO,70.3705,31.1107,23.2,82,70,20.45,broken clouds
171,agirish,RU,61.9247,63.0231,6.21,96,100,7.05,overcast clouds
172,pervomayskoye,RU,43.919,46.7102,35.67,76,100,14.9,overcast clouds
173,jhang,PK,33.6748,72.6963,51.62,80,54,7.85,broken clouds
174,jega,NG,12.2175,4.3792,67.78,16,0,10.51,clear sky
175,bournemouth,GB,50.7205,-1.8795,42.93,84,3,1.01,clear sky
176,el astillero,ES,43.4009,-3.8205,49.87,59,20,9.22,few clouds
177,caravelas,BR,-17.7125,-39.2481,76.68,85,43,6.08,scattered clouds
178,camacha,PT,33.0833,-16.3333,59.76,63,40,10.36,scattered clouds
179,dakar,SN,14.6937,-17.4441,68.88,79,0,15.17,clear sky
180,kashi,CN,39.4547,75.9797,28.26,79,40,4.47,scattered clouds
181,paita,PE,-5.0892,-81.1144,72.32,79,98,11.92,overcast clouds
182,kedrovyy,RU,56.1667,91.8167,12.61,90,100,4.56,overcast clouds
183,carnarvon,AU,-24.8667,113.6333,77.07,41,7,20.71,clear sky
184,kastamonu,TR,41.5,33.6667,21.58,96,68,1.41,broken clouds
185,totness,SR,5.8833,-56.3167,77.5,84,100,8.99,overcast clouds
186,usinsk,RU,65.9939,57.5281,1.9,86,100,8.19,overcast clouds
187,laredo,US,27.5064,-99.5075,62.89,39,0,4.61,clear sky
188,oriximina,BR,-1.7656,-55.8661,74.5,93,100,3.04,overcast clouds
189,castrillon,ES,43.3979,-6.7922,45.14,90,55,3.06,broken clouds
190,deder,ET,9.3167,41.45,50.5,89,100,5.84,overcast clouds
191,palasa,IN,18.7667,84.4167,67.64,70,98,3.22,overcast clouds
192,arrifes,PT,37.7667,-25.7,58.23,82,75,11.5,broken clouds
193,guaraniacu,BR,-25.1008,-52.8781,62.6,63,56,4.72,broken clouds
194,henties bay,NA,-22.116,14.2845,68.86,84,98,5.06,overcast clouds
195,port blair,IN,11.6667,92.75,78.84,83,40,4.61,scattered clouds
196,thompson,CA,55.7435,-97.8558,-7.44,71,100,4.61,overcast clouds
197,yar-sale,RU,66.8333,70.8333,-9.36,99,46,9.08,scattered clouds
198,birao,CF,10.2849,22.7882,62.62,16,4,9.04,clear sky
199,tanga,TZ,-5.0667,39.1,77.86,82,100,5.12,overcast clouds
200,koutiala,ML,12.3917,-5.4642,72.41,13,0,8.34,clear sky
201,odweyne,SO,9.4092,45.064,62.24,74,96,8.43,overcast clouds
202,port-cartier,CA,50.0334,-66.8654,3.74,96,100,3.69,light snow
203,coihaique,CL,-45.5752,-72.0662,70.41,56,91,5.75,overcast clouds
204,tucupita,VE,9.0622,-62.051,72.19,98,42,3.91,scattered clouds
205,mulanje,MW,-16.0316,35.5,66.42,99,38,1.34,scattered clouds
206,rawson,AR,-43.3002,-65.1023,65.03,47,0,17.98,clear sky
207,grand-santi,GF,4.25,-54.3833,72.45,99,100,2.39,overcast clouds
208,saint-pierre,RE,-21.3393,55.4781,78.48,78,0,6.91,clear sky
209,ronne,DK,55.1009,14.7066,35.51,87,40,17.27,scattered clouds
210,ponta do sol,PT,32.6667,-17.1,63.23,67,5,10.47,clear sky
211,waddan,LY,29.1614,16.139,55.6,26,97,6.87,overcast clouds
212,canutama,BR,-6.5339,-64.3831,72.7,99,100,2.06,overcast clouds
213,kavaratti,IN,10.5669,72.642,77.52,67,16,6.17,few clouds
214,kerchevskiy,RU,59.946,56.2884,14.5,87,100,7.18,overcast clouds
215,vestmannaeyjar,IS,63.4427,-20.2734,39.09,83,100,53.42,moderate rain
216,lubango,AO,-14.9172,13.4925,61.97,51,100,2.17,overcast clouds
217,andros town,BS,24.7,-77.7667,71.56,68,6,12.91,clear sky
218,the valley,AI,18.217,-63.0578,77.09,71,84,22.97,broken clouds
219,tiznit,MA,29.5833,-9.5,61.21,23,4,6.26,clear sky
220,uhlove,UA,44.8215,33.6045,41.58,78,46,14.03,scattered clouds
221,comodoro rivadavia,AR,-45.8667,-67.5,66.06,52,0,4.61,clear sky
222,jalu,LY,29.0331,21.5482,55.72,33,3,6.73,clear sky
223,general jose eduvigis diaz,PY,-27.1667,-58.4167,71.64,30,0,7.18,clear sky
224,geraldton,AU,-28.7667,114.6,75.61,38,40,18.41,scattered clouds
225,pucara,PE,-15.9803,-71.4606,35.73,62,100,3.33,overcast clouds
226,cidreira,BR,-30.1811,-50.2056,69.22,72,10,9.4,clear sky
227,kargat,RU,55.1956,80.2811,-3.46,95,100,3.24,overcast clouds
228,puerto del rosario,ES,28.5004,-13.8627,64.15,88,10,17.27,clear sky
229,sakakah,SA,29.9697,40.2064,42.37,57,0,5.19,clear sky
230,aden,YE,12.7794,45.0367,76.69,67,100,7.27,overcast clouds
231,necochea,AR,-38.5473,-58.7368,60.04,64,95,12.97,overcast clouds
232,candeias,BR,-20.7676,-45.2764,64.54,99,100,4.29,overcast clouds
233,villarrubia de los ojos,ES,39.2209,-3.608,43.99,47,25,5.37,scattered clouds
234,taltal,CL,-25.4,-70.4833,67.86,73,3,4.27,clear sky
235,nizwa,OM,22.9333,57.5333,61.21,56,1,2.1,clear sky
236,san cristobal,VE,7.7669,-72.225,69.98,90,26,1.28,scattered clouds
237,bagaha,IN,27.1,84.0833,52.84,79,0,1.28,clear sky
238,loandjili,CG,-4.7561,11.8578,75.31,100,20,4.61,few clouds
239,sabha,LY,27.0377,14.4283,52.93,23,25,9.93,scattered clouds
240,isabela,PH,6.7085,121.9711,84.25,69,96,8.1,overcast clouds
241,benjamin constant,BR,-4.3831,-70.0311,77.13,97,100,2.55,light rain
242,taoudenni,ML,22.6783,-3.9836,65.59,14,2,10.22,clear sky
243,saint anthony,US,45.0205,-93.218,12.4,69,75,5.01,broken clouds
244,quatre cocos,MU,-20.2078,57.7625,77.11,84,100,9.55,light rain
245,araouane,ML,18.9048,-3.5265,63.0,13,0,7.96,clear sky
246,zheleznodorozhnyy,RU,55.7503,38.0042,27.12,93,100,5.88,overcast clouds
247,chapais,CA,49.7834,-74.8492,4.78,95,100,6.08,light snow
248,antofagasta,CL,-23.65,-70.4,67.28,78,32,1.99,scattered clouds
249,saint-augustin,CA,51.226,-58.6502,-23.22,91,16,5.3,few clouds
250,paidha,UG,2.4167,30.9855,61.9,36,47,5.41,scattered clouds
251,inirida,CO,3.8653,-67.9239,77.31,82,87,1.05,overcast clouds
252,tshikapa,CD,-6.4167,20.8,68.95,95,100,1.05,overcast clouds
253,luderitz,NA,-26.6481,15.1594,68.68,74,49,3.22,scattered clouds
254,veraval,IN,20.9,70.3667,63.21,76,5,7.99,clear sky
255,ugra,RU,54.7777,34.3267,29.62,94,100,9.8,overcast clouds
256,hamilton,US,39.1834,-84.5333,31.42,82,0,0.0,clear sky
257,banposh,IN,22.25,84.8,56.7,39,0,1.52,clear sky
258,key west,US,24.5557,-81.7826,72.0,84,0,12.64,clear sky
259,matara,LK,5.9485,80.5353,77.36,81,100,3.71,overcast clouds
260,acari,PE,-15.4311,-74.6158,73.96,72,14,3.33,few clouds
261,hambantota,LK,6.1241,81.1185,77.34,88,40,4.61,scattered clouds
262,alappuzha,IN,9.49,76.3264,74.12,84,16,5.59,few clouds
263,westport,US,41.1415,-73.3579,30.74,75,75,4.0,broken clouds
264,dudinka,RU,69.4058,86.1778,-35.54,100,39,3.2,scattered clouds
265,west bay,KY,19.3667,-81.4167,78.01,83,75,1.99,broken clouds
266,turukhansk,RU,65.8167,87.9833,-25.38,100,45,3.89,scattered clouds
267,rockland,US,41.1668,-74.0496,29.43,81,40,4.23,scattered clouds
268,humaita,BR,-7.5061,-63.0208,73.99,98,100,1.97,overcast clouds
269,ruzhyn,UA,49.7228,29.2046,33.51,80,100,14.63,overcast clouds
270,nizhnyaya tavda,RU,57.6731,66.1725,-0.54,88,100,7.27,overcast clouds
271,novyy urengoy,RU,66.0833,76.6333,-21.19,100,80,1.83,broken clouds
272,mullingar,IE,53.5333,-7.35,39.67,95,87,5.79,overcast clouds
273,sept-iles,CA,50.2001,-66.3821,4.05,77,100,6.91,overcast clouds
274,imbituba,BR,-28.24,-48.6703,76.89,79,41,4.52,scattered clouds
275,havelock,US,34.8791,-76.9013,43.02,85,71,3.0,broken clouds
276,rundu,NA,-17.9333,19.7667,66.34,88,98,5.17,light rain
277,prenzlau,DE,53.3167,13.8667,38.21,82,100,18.86,overcast clouds
278,sao gabriel da cachoeira,BR,-0.1303,-67.0892,72.82,97,97,1.68,overcast clouds
279,tukrah,LY,32.5341,20.5791,55.27,72,73,8.75,broken clouds
280,luanda,AO,-8.8368,13.2343,73.65,87,100,5.17,overcast clouds
281,bandarbeyla,SO,9.4942,50.8122,74.46,75,98,12.48,overcast clouds
282,rocha,UY,-34.4833,-54.3333,63.41,85,100,14.88,overcast clouds
283,corralillo,CU,22.9819,-80.5856,73.47,78,2,12.06,clear sky
284,grand gaube,MU,-20.0064,57.6608,77.4,86,100,1.99,overcast clouds
285,tripoli,LY,32.8752,13.1875,57.92,77,100,9.22,overcast clouds
286,banyo,CM,6.75,11.8167,64.09,30,0,1.41,clear sky
287,banda aceh,ID,5.5577,95.3222,77.16,86,100,6.08,overcast clouds
288,hatta,IN,24.1167,79.6,55.02,36,0,3.06,clear sky
289,itarema,BR,-2.9248,-39.9167,79.25,76,1,12.28,clear sky
290,havre-saint-pierre,CA,50.2334,-63.5986,7.39,71,100,6.91,overcast clouds
291,glushkovo,RU,51.3392,34.6328,23.58,92,99,11.43,overcast clouds
292,biltine,TD,14.5333,20.9167,61.07,19,0,14.14,clear sky
293,doha,QA,25.2867,51.5333,58.98,63,0,12.66,clear sky
294,springdale,US,36.1867,-94.1288,37.53,69,0,6.91,clear sky
295,talnakh,RU,69.4865,88.3972,-28.37,99,56,0.51,broken clouds
296,lincoln,US,40.8,-96.667,35.29,52,0,1.01,clear sky
297,linhares,BR,-19.3911,-40.0722,73.31,95,3,2.77,clear sky
298,marmande,FR,44.5,0.1667,50.86,97,100,15.68,overcast clouds
299,santa maria,BR,-29.6842,-53.8069,65.5,68,0,2.3,clear sky
300,manta,EC,-0.95,-80.7333,76.78,83,75,9.22,broken clouds
301,bongandanga,CD,1.5,21.05,69.57,43,100,1.43,overcast clouds
302,nacala,MZ,-14.5428,40.6728,74.03,85,71,4.14,broken clouds
303,srivardhan,IN,18.0333,73.0167,67.21,80,24,5.35,few clouds
304,horasan,TR,40.0458,42.1728,0.03,97,92,1.43,overcast clouds
305,ostrovnoy,RU,68.0531,39.5131,11.84,88,16,19.71,few clouds
306,torbay,CA,47.6666,-52.7314,12.76,75,40,16.11,scattered clouds
307,moussoro,TD,13.6408,16.4901,62.89,13,0,14.16,clear sky
308,faya,SA,18.3851,42.4509,48.31,83,10,3.15,clear sky
309,villeneuve-les-avignon,FR,43.9684,4.7963,51.53,71,0,5.01,clear sky
310,cozumel,MX,20.5083,-86.9458,74.95,89,41,1.99,scattered clouds
311,bria,CF,6.5423,21.9863,63.72,22,92,5.35,overcast clouds
312,sarahan,IN,31.5167,77.8,33.53,74,38,6.67,scattered clouds
313,progreso,MX,21.2833,-89.6667,71.11,79,5,11.25,clear sky
314,barra do corda,BR,-5.5,-45.25,72.99,96,41,1.45,scattered clouds
315,plettenberg bay,ZA,-34.0527,23.3716,70.81,59,0,5.17,clear sky
316,dingle,PH,10.9995,122.6711,82.54,66,56,15.28,broken clouds
317,vallenar,CL,-28.5708,-70.7581,70.5,53,0,2.89,clear sky
318,llanes,ES,43.4198,-4.7549,44.28,62,75,7.7,broken clouds
319,nyanguge,TZ,-2.55,33.2,67.71,83,100,6.98,light rain
320,maniitsoq,GL,65.4167,-52.9,2.62,82,100,14.45,overcast clouds
321,antequera,ES,37.0194,-4.5612,53.1,93,6,4.07,clear sky
322,aswan,EG,24.0934,32.907,52.9,43,0,5.75,clear sky
323,medea,DZ,36.2642,2.7539,36.05,94,3,1.99,clear sky
324,kuusamo,FI,65.9667,29.1833,21.24,93,100,11.5,overcast clouds
325,venado tuerto,AR,-33.7456,-61.9688,57.76,62,0,3.56,clear sky
326,honningsvag,NO,70.9821,25.9704,25.7,78,55,28.25,broken clouds
327,margate,GB,51.3813,1.3862,41.95,68,4,10.0,clear sky
328,san antonio,US,29.4241,-98.4936,54.05,48,0,5.75,clear sky
329,felanitx,ES,39.4696,3.1483,44.13,84,0,3.89,clear sky
330,pedernales,DO,18.0384,-71.744,75.97,72,20,2.57,few clouds
331,inhambane,MZ,-23.865,35.3833,76.73,81,75,14.16,broken clouds
332,barra patuca,HN,15.8,-84.2833,74.77,70,5,8.12,clear sky
333,qaqortoq,GL,60.7167,-46.0333,11.37,60,100,29.82,overcast clouds
334,sirjan,IR,29.452,55.6814,40.55,58,0,5.73,clear sky
335,morondava,MG,-20.2833,44.2833,80.8,84,100,25.19,moderate rain
336,leshukonskoye,RU,64.8989,45.7622,13.03,94,99,7.7,overcast clouds
337,tabuk,PH,17.4189,121.4443,71.98,89,100,1.95,overcast clouds
338,jaru,BR,-10.4389,-62.4664,73.54,96,90,3.44,overcast clouds
339,paamiut,GL,61.994,-49.6678,9.84,70,100,29.91,overcast clouds
340,sladkovo,RU,55.5284,70.3385,-5.06,93,60,7.23,broken clouds
